TrialID,SubjID,block,btrial,tord,RT,Selection
275,3,6,5,35,6440,0
276,3,15,1,36,6289,0
277,3,15,2,37,4146,1
278,3,15,3,38,1623,0
279,3,15,4,39,2914,0
280,3,15,5,40,3505,0
281,3,2,1,41,4998,1
282,3,2,2,42,6139,0
283,3,2,3,43,2854,0
284,3,2,4,44,2714,0
285,3,2,5,45,8842,1
286,3,17,1,46,4186,0
287,3,17,2,47,5127,1
288,3,17,3,48,2513,1
289,3,17,4,49,1913,1
290,3,17,5,50,2012,0
291,3,3,1,51,8061,1
292,3,3,2,52,5819,0
293,3,3,3,53,1983,1
294,3,3,4,54,3375,0
295,3,3,5,55,7541,0
296,3,9,1,56,4687,0
297,3,9,2,57,7601,1
298,3,9,3,58,2053,0
299,3,9,4,59,2173,0
300,3,9,5,60,7951,1
301,3,14,1,61,5568,0
302,3,14,2,62,4647,0
303,3,14,3,63,1943,0
304,3,14,4,64,3925,0
305,3,14,5,65,3986,0
306,3,10,1,66,5939,0
307,3,10,2,67,3805,0
308,3,10,3,68,2423,1
309,3,10,4,69,1993,1
310,3,10,5,70,8422,0
311,3,16,1,71,6740,1
312,3,16,2,72,3485,1
313,3,16,3,73,2083,1
314,3,16,4,74,2824,1
315,3,16,5,75,3685,1
316,3,13,1,76,4917,1
317,3,13,2,77,4727,1
318,3,13,3,78,2213,1
319,3,13,4,79,2504,1
320,3,13,5,80,3395,1
321,3,4,1,81,4396,0
322,3,4,2,82,6900,0
323,3,4,3,83,3605,1
324,3,4,4,84,1772,0
325,3,4,5,85,8081,1
326,3,19,1,86,5908,1
327,3,19,2,87,8032,1
328,3,19,3,88,2113,0
329,3,19,4,89,4436,0
330,3,19,5,90,4196,0
331,3,22,1,91,4576,0
332,3,22,2,92,4407,0
333,3,22,3,93,2003,0
334,3,22,4,94,2714,1
335,3,22,5,95,3164,0
336,3,5,1,96,8122,1
337,3,5,2,97,4797,1
338,3,5,3,98,2955,0
339,3,5,4,99,2184,1
340,3,5,5,100,7210,1
341,3,11,1,101,7000,1
342,3,11,2,102,5097,1
343,3,11,3,103,2604,0
344,3,11,4,104,3545,1
345,3,11,5,105,8593,0
346,3,21,1,106,9214,0
347,3,21,2,107,7751,1
348,3,21,3,108,1552,1
349,3,21,4,109,4797,0
350,3,21,5,110,4356,1
351,3,18,1,111,5207,1
352,3,18,2,112,3314,1
353,3,18,3,113,2233,0
354,3,18,4,114,4196,1
355,3,18,5,115,4407,0
356,3,8,1,116,2954,1
357,3,8,2,117,2654,0
358,3,8,3,118,2153,1
359,3,8,4,119,1652,1
360,3,8,5,120,7861,1
361,4,1,1,1,5868,1
362,4,1,2,2,7151,1
363,4,1,3,3,2523,0
364,4,1,4,4,2393,1
365,4,1,5,5,8632,0
366,4,24,1,6,6850,0
367,4,24,2,7,3455,0
368,4,24,3,8,1573,0
369,4,24,4,9,3415,0
370,4,24,5,10,3856,1
371,4,21,1,11,8151,0
372,4,21,2,12,7551,1
373,4,21,3,13,1843,1
374,4,21,4,14,3966,0
375,4,21,5,15,3084,1
376,4,9,1,16,6479,0
377,4,9,2,17,6609,1
378,4,9,3,18,2213,0
379,4,9,4,19,1963,0
380,4,9,5,20,13540,1
381,4,6,1,21,4046,0
382,4,6,2,22,2935,1
383,4,6,3,23,1893,1
384,4,6,4,24,2444,1
385,4,6,5,25,6259,0
386,4,19,1,26,7301,1
387,4,19,2,27,8823,0
388,4,19,3,28,1913,0
389,4,19,4,29,4036,0
390,4,19,5,30,4237,0
391,4,11,1,31,6119,1
392,4,11,2,32,9834,0
393,4,11,3,33,3535,1
394,4,11,4,34,2383,1
395,4,11,5,35,8061,0
396,4,10,1,36,4817,0
397,4,10,2,37,4366,0
398,4,10,3,38,1883,1
399,4,10,4,39,2614,1
400,4,10,5,40,11036,0
401,4,18,1,41,5568,1
402,4,18,2,42,3976,1
403,4,18,3,43,2413,0
404,4,18,4,44,3746,1
405,4,18,5,45,3885,0
406,4,16,1,46,5568,1
407,4,16,2,47,3435,1
408,4,16,3,48,1843,1
409,4,16,4,49,2384,1
410,4,16,5,50,3455,1
411,4,23,1,51,4517,1
412,4,23,2,52,7470,0
413,4,23,3,53,1862,0
414,4,23,4,54,2032,0
415,4,23,5,55,4476,0
416,4,12,1,56,4977,1
417,4,12,2,57,3735,1
418,4,12,3,58,1732,1
419,4,12,4,59,2273,1
420,4,12,5,60,6469,0
421,4,15,1,61,6229,1
422,4,15,2,62,3535,1
423,4,15,3,63,1683,0
424,4,15,4,64,2103,0
425,4,15,5,65,3285,0
426,4,14,1,66,7360,0
427,4,14,2,67,8432,0
428,4,14,3,68,2383,0
429,4,14,4,69,3175,0
430,4,14,5,70,4897,0
431,4,3,1,71,7471,1
432,4,3,2,72,5108,0
433,4,3,3,73,2784,1
434,4,3,4,74,4827,0
435,4,3,5,75,6730,0
436,4,5,1,76,11166,1
437,4,5,2,77,6510,1
438,4,5,3,78,1963,0
439,4,5,4,79,2954,1
440,4,5,5,80,7100,1
441,4,7,1,81,8081,1
442,4,7,2,82,6019,1
443,4,7,3,83,2854,1
444,4,7,4,84,2434,0
445,4,7,5,85,8582,0
446,4,22,1,86,5368,0
447,4,22,2,87,5357,0
448,4,22,3,88,2093,0
449,4,22,4,89,3305,1
450,4,22,5,90,3094,0
451,4,17,1,91,3885,0
452,4,17,2,92,5318,1
453,4,17,3,93,2363,1
454,4,17,4,94,1723,1
455,4,17,5,95,1862,0
456,4,2,1,96,6519,1
457,4,2,2,97,5528,0
458,4,2,3,98,2393,0
459,4,2,4,99,2073,0
460,4,2,5,100,7111,1
461,4,20,1,101,7260,0
462,4,20,2,102,7671,0
463,4,20,3,103,2544,0
464,4,20,4,104,2845,0
465,4,20,5,105,2754,1
466,4,13,1,106,5208,1
467,4,13,2,107,5528,1
468,4,13,3,108,1973,1
469,4,13,4,109,3675,1
470,4,13,5,110,3355,1
471,4,8,1,111,7721,0
472,4,8,2,112,4326,0
473,4,8,3,113,2174,1
474,4,8,4,114,3345,1
475,4,8,5,115,9854,1
476,4,4,1,116,7561,0
477,4,4,2,117,7981,0
478,4,4,3,118,2203,1
479,4,4,4,119,2453,0
480,4,4,5,120,7511,1
481,5,14,1,1,7351,0
482,5,14,2,2,5408,0
483,5,14,3,3,3605,0
484,5,14,4,4,4166,0
485,5,14,5,5,5038,0
486,5,2,1,6,5007,1
487,5,2,2,7,4947,0
488,5,2,3,8,3055,0
489,5,2,4,9,2865,0
490,5,2,5,10,10646,1
491,5,15,1,11,5197,0
492,5,15,2,12,4016,1
493,5,15,3,13,1673,0
494,5,15,4,14,2984,0
495,5,15,5,15,3275,0
496,5,23,1,16,4787,1
497,5,23,2,17,7671,0
498,5,23,3,18,2153,0
499,5,23,4,19,2774,0
500,5,23,5,20,4998,0
501,5,16,1,21,3645,1
502,5,16,2,22,3515,1
503,5,16,3,23,2013,1
504,5,16,4,24,3024,1
505,5,16,5,25,3856,1
506,5,12,1,26,4386,1
507,5,12,2,27,3866,1
508,5,12,3,28,2684,1
509,5,12,4,29,2033,1
510,5,12,5,30,6430,0
511,5,8,1,31,3184,1
512,5,8,2,32,2984,0
513,5,8,3,33,2023,1
514,5,8,4,34,2073,1
515,5,8,5,35,8983,0
516,5,18,1,36,4607,1
517,5,18,2,37,3825,1
518,5,18,3,38,2303,0
519,5,18,4,39,3225,1
520,5,18,5,40,3856,0
521,5,7,1,41,12007,0
522,5,7,2,42,4496,1
523,5,7,3,43,3215,1
524,5,7,4,44,3895,0
525,5,7,5,45,8472,0
526,5,5,1,46,4486,1
527,5,5,2,47,4857,1
528,5,5,3,48,2584,0
529,5,5,4,49,2273,1
530,5,5,5,50,7060,1
531,5,17,1,51,3986,0
532,5,17,2,52,4206,1
533,5,17,3,53,2323,1
534,5,17,4,54,2394,1
535,5,17,5,55,2284,0
536,5,9,1,56,4186,0
537,5,9,2,57,6269,1
538,5,9,3,58,2083,0
539,5,9,4,59,1923,0
540,5,9,5,60,7821,1
541,5,13,1,61,5598,1
542,5,13,2,62,5778,1
543,5,13,3,63,2174,1
544,5,13,4,64,4236,1
545,5,13,5,65,3956,1
546,5,4,1,66,3234,0
547,5,4,2,67,7350,0
548,5,4,3,68,4897,1
549,5,4,4,69,2764,0
550,5,4,5,70,6339,1
551,5,24,1,71,9453,0
552,5,24,2,72,3535,0
553,5,24,3,73,1612,0
554,5,24,4,74,3996,0
555,5,24,5,75,3725,1
556,5,10,1,76,5928,0
557,5,10,2,77,4276,0
558,5,10,3,78,2814,1
559,5,10,4,79,2464,1
560,5,10,5,80,8783,0
561,5,11,1,81,7121,1
562,5,11,2,82,4296,1
563,5,11,3,83,2604,0
564,5,11,4,84,5047,1
565,5,11,5,85,6339,0
566,5,22,1,86,4707,0
567,5,22,2,87,4617,0
568,5,22,3,88,2263,0
569,5,22,4,89,3205,1
570,5,22,5,90,3304,0
571,5,21,1,91,9393,0
572,5,21,2,92,7140,1
573,5,21,3,93,1902,1
